Model,Scenario,Region,Variable,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,ADVANCE_INDC,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8665,,,,,69.557,,,,,79.5392,,,,,89.6318,,,,,102.7211,,,,,116.6886,,,,,129.3663,,,,,140.2427,,,,,149.8852,,,,,157.9067,,,,,166.6647,,,,,178.8501,,,,,191.9558,,,,,205.8827,,,,,221.0519,,,,,236.2443,,,,,250.9499,,,,,265.0717,,,,,279.0064
AIM/CGE 2.0,ADVANCE_INDC,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.4555,,,,,59.7204,,,,,64.5493,,,,,68.0647,,,,,66.9206,,,,,66.4851,,,,,66.414,,,,,66.6812,,,,,67.5678,,,,,68.7921,,,,,69.6623,,,,,70.2222,,,,,69.082,,,,,67.2268,,,,,64.757,,,,,62.0362,,,,,59.603,,,,,57.6337,,,,,55.2632
AIM/CGE 2.0,ADVANCE_INDC,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.991,,,,,172.7701,,,,,189.1643,,,,,193.7085,,,,,194.3295,,,,,196.9954,,,,,201.6449,,,,,208.2388,,,,,214.2498,,,,,220.5973,,,,,225.8001,,,,,193.6444,,,,,188.4363,,,,,181.45,,,,,174.1482,,,,,166.3445,,,,,158.5592,,,,,152.3376,,,,,145.4862
AIM/CGE 2.0,ADVANCE_INDC,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8923,,,,,28.8193,,,,,28.3413,,,,,26.1574,,,,,23.5011,,,,,20.4803,,,,,17.1775,,,,,14.4582,,,,,11.7614,,,,,9.1667,,,,,7.2269,,,,,5.1214,,,,,3.9148,,,,,3.0813,,,,,2.478,,,,,2.0478,,,,,1.7487,,,,,1.5185,,,,,1.2912
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38170.9126,,,,,42083.0904,,,,,45938.1002,,,,,49234.5509,,,,,51371.473,,,,,53575.6167,,,,,55539.2823,,,,,57161.8241,,,,,57718.7628,,,,,58984.8131,,,,,60166.758,,,,,62130.0042,,,,,65473.9886,,,,,68620.7389,,,,,70407.2799,,,,,70842.7122,,,,,72168.6876,,,,,73351.5282,,,,,74030.337
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8017,,,,,69.2382,,,,,79.1074,,,,,88.5916,,,,,97.9577,,,,,107.7641,,,,,117.6098,,,,,127.5766,,,,,136.3929,,,,,144.0619,,,,,153.8594,,,,,167.0151,,,,,183.8144,,,,,200.4027,,,,,213.7553,,,,,223.1584,,,,,234.8915,,,,,248.6786,,,,,260.3278
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.8892,,,,,60.8561,,,,,66.9563,,,,,72.5489,,,,,77.2865,,,,,81.1334,,,,,83.9403,,,,,85.7657,,,,,87.7347,,,,,90.7258,,,,,93.2911,,,,,95.1974,,,,,96.1548,,,,,97.4106,,,,,99.4827,,,,,101.9159,,,,,104.0422,,,,,107.3117,,,,,106.3139
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.6214,,,,,172.739,,,,,191.0354,,,,,208.0923,,,,,223.2591,,,,,236.1962,,,,,249.0767,,,,,258.5709,,,,,266.0662,,,,,272.9229,,,,,276.1403,,,,,273.9236,,,,,269.4322,,,,,265.9331,,,,,265.8552,,,,,269.0854,,,,,267.0708,,,,,258.3445,,,,,252.0544
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8488,,,,,28.9829,,,,,29.3144,,,,,28.3702,,,,,26.7677,,,,,25.4579,,,,,24.0707,,,,,22.7968,,,,,20.619,,,,,19.1874,,,,,19.4766,,,,,21.773,,,,,24.8292,,,,,25.5313,,,,,22.6244,,,,,17.8027,,,,,16.143,,,,,15.0479,,,,,13.8958
AIM/CGE 2.0,ADVANCE_Reference,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38102.443,,,,,41394.1948,,,,,44425.6961,,,,,47262.6342,,,,,48703.8884,,,,,50351.2191,,,,,52139.6,,,,,53153.0947,,,,,53116.6667,,,,,54073.7324,,,,,54790.6309,,,,,55523.3155,,,,,57320.7627,,,,,60342.1787,,,,,63159.1417,,,,,65465.5048,,,,,66378.2212,,,,,66623.969,,,,,67605.3914
AIM/CGE 2.0,ADVANCE_Reference,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8665,,,,,69.557,,,,,79.5392,,,,,89.6813,,,,,99.5641,,,,,109.2827,,,,,118.457,,,,,127.624,,,,,135.6242,,,,,141.6429,,,,,149.7792,,,,,160.3814,,,,,174.2982,,,,,190.9601,,,,,207.5198,,,,,222.6464,,,,,236.0766,,,,,249.4872,,,,,263.9146
AIM/CGE 2.0,ADVANCE_Reference,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.4555,,,,,59.7204,,,,,64.5493,,,,,69.4042,,,,,73.6313,,,,,77.5051,,,,,80.9707,,,,,83.8679,,,,,86.0928,,,,,89.5418,,,,,92.752,,,,,95.3963,,,,,96.7505,,,,,97.3416,,,,,98.0617,,,,,98.5317,,,,,100.0735,,,,,102.4623,,,,,103.2675
AIM/CGE 2.0,ADVANCE_Reference,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.991,,,,,172.7701,,,,,189.1643,,,,,207.2235,,,,,223.6075,,,,,237.8769,,,,,251.9683,,,,,262.7533,,,,,272.3008,,,,,281.5848,,,,,286.7496,,,,,287.1452,,,,,283.8318,,,,,277.8691,,,,,272.6687,,,,,269.4547,,,,,264.4314,,,,,255.3896,,,,,246.795
AIM/CGE 2.0,ADVANCE_Reference,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8923,,,,,28.8193,,,,,28.3413,,,,,27.4729,,,,,25.6579,,,,,24.0071,,,,,22.12,,,,,20.3616,,,,,17.4851,,,,,15.7516,,,,,15.3643,,,,,16.5241,,,,,19.5888,,,,,23.2551,,,,,24.561,,,,,24.3525,,,,,21.0844,,,,,17.9736,,,,,16.8198
AIM/CGE 2.0,EMF30_BCOC-EndU,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,33045.534,,,,,37374.2663,,,,,,,,,,44482.814,,,,,,,,,,49893.9333,,,,,,,,,,54641.4562,,,,,,,,,,57621.0425,,,,,,,,,,59590.8021,,,,,,,,,,61373.9668,,,,,,,,,,63306.8132,,,,,,,,,,65936.1681,,,,,,,,,,68340.4029
AIM/CGE 2.0,EMF30_BCOC-EndU,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,54.6438,,,,,64.0372,,,,,,,,,,85.2521,,,,,,,,,,108.1518,,,,,,,,,,131.7681,,,,,,,,,,156.148,,,,,,,,,,173.5146,,,,,,,,,,192.8114,,,,,,,,,,215.4204,,,,,,,,,,241.1974,,,,,,,,,,267.6969
AIM/CGE 2.0,EMF30_BCOC-EndU,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.8197,,,,,55.857,,,,,,,,,,66.0205,,,,,,,,,,75.2342,,,,,,,,,,80.7145,,,,,,,,,,84.2198,,,,,,,,,,91.0085,,,,,,,,,,96.2905,,,,,,,,,,99.2247,,,,,,,,,,100.2449,,,,,,,,,,102.4218
AIM/CGE 2.0,EMF30_BCOC-EndU,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,129.7128,,,,,138.5788,,,,,,,,,,166.0244,,,,,,,,,,190.7687,,,,,,,,,,208.7125,,,,,,,,,,216.6693,,,,,,,,,,222.643,,,,,,,,,,226.444,,,,,,,,,,222.7088,,,,,,,,,,211.7943,,,,,,,,,,195.7439
AIM/CGE 2.0,EMF30_BCOC-EndU,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,29.0008,,,,,28.3011,,,,,,,,,,26.0674,,,,,,,,,,20.5442,,,,,,,,,,18.3411,,,,,,,,,,15.1319,,,,,,,,,,10.9749,,,,,,,,,,8.4455,,,,,,,,,,6.921,,,,,,,,,,6.0838,,,,,,,,,,5.2848
AIM/CGE 2.0,EMF30_Baseline,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,33045.534,,,,,37370.1779,,,,,,,,,,44481.6411,,,,,,,,,,49867.7363,,,,,,,,,,54605.9284,,,,,,,,,,57569.993,,,,,,,,,,59545.0364,,,,,,,,,,61319.5779,,,,,,,,,,63246.4361,,,,,,,,,,65871.7426,,,,,,,,,,68366.8588
